h3_cell,location_name,lat,lon,top_violation_details
8861892e0dfffff,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2",12.995079640623457,77.69730956392651,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e11fffff,"Kaggadasapura Main Road, Kaggadasapura, Bengaluru Central City Corporation",12.9855947,77.6699049,WRONG PARKING (112)
8861892e13fffff,"Kaggadaspura Main Road, Government Quarters, Vishwa Vihar",12.98813532631579,77.66375128947368,WRONG PARKING (112) | NO PARKING (113)
8861892e17fffff,"MBT Road, Royal Heritage, Pai Layout",12.99550675807897,77.6669651957295,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892e19fffff,"GM Palya Main Road, Mallesh Palya Extension, Malleshpalya",12.9735497,77.6742773,WRONG PARKING (112) | NO PARKING (113)
8861892e1dfffff,"Kaggadaspura Main Road, Jagadaapura, Kaggadasapura",12.98379355,77.67987145384616,WRONG PARKING (112) | PARKING OPPOSITE TO ANOTHER PARKED VEHICLE (108) | REFUSE TO GO FOR HIRE (124)
8861892e21fffff,"MBT Road, KR Puram Extension, Bengaluru",13.012841012500001,77.6993926,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e25fffff,"TC Palya Main Road, Lake Vihar 2, TC Palya",13.021270609090912,77.70135993636363,NO PARKING (113) | WRONG PARKING (112)
8861892e27fffff,"Maragondanahalli Main Road, Anandapuram Circle, Anandapura",13.023968925,77.693649475,WRONG PARKING (112)
8861892e29fffff,"MBT Road, YSM Layout, KR Puram",13.009444578060497,77.69726451718861,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892e2bfffff,"MBT Road, Devasandra Junction, KR Puram",13.008244247753229,77.69488116981783,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e2dfffff,"MBT Road, Vinayaka Layout, Battarahalli",13.017905830434781,77.70543444782608,NO PARKING (113) | WRONG PARKING (112) | PARKING ON FOOTPATH (105)
8861892e33fffff,"MBT Road, Jala, Banaswadi",13.00928558,77.66441954,WRONG PARKING (112) | NO PARKING (113)
8861892e37fffff,"Sree Anjaneya Temple Road, Petra Parks Apartment, Dasappa Layout",13.0116227,77.6708449,NO PARKING (113)
